Designator,Mid X,Mid Y,Rotation,Layer
C1,42.35,-45.225,270.0,bottom
C10,56.525,-34.9,0.0,bottom
C101,86.9,-150.7,180.0,bottom
C102,26.6,-51.8,180.0,bottom
C103,56.9,-150.7,180.0,bottom
C104,266.825,-150.7,180.0,bottom
C105,325.6,-76.1,90.0,bottom
C106,180.5,-153.5,90.0,bottom
C107,150.5,-153.5,90.0,bottom
C108,211.6,-150.7,180.0,bottom
C11,75.475,-34.8,0.0,bottom
C111,323.125,-139.6,0.0,bottom
C112,304.025,-139.6,0.0,bottom
C12,94.525,-34.8,0.0,bottom
C13,113.675,-34.8,0.0,bottom
C14,156.5,-34.7,0.0,bottom
C15,137.475,-34.8,0.0,bottom
C16,275.5,-34.8,0.0,bottom
C17,147.0,-58.6,0.0,bottom
C18,175.625,-34.8,0.0,bottom
C19,118.4,-77.6,0.0,bottom
C2,145.4675,-143.8,180.0,bottom
C20,89.8,-58.6,0.0,bottom
C21,61.3,-77.7,0.0,bottom
C22,80.225,-77.7,0.0,bottom
C23,165.925,-58.6,0.0,bottom
C24,127.925,-58.6,0.0,bottom
C25,137.425,-77.7,0.0,bottom
C26,156.625,-77.7,0.0,bottom
C27,213.725,-77.7,0.0,bottom
C28,194.6,-77.7,0.0,bottom
C29,35.0,-134.8,0.0,bottom
C3,144.925,-147.0,180.0,bottom
C30,261.225,-58.6,0.0,bottom
C31,70.8,-58.6,0.0,bottom
C32,108.8,-58.6,0.0,bottom
C33,175.575,-77.7,0.0,bottom
C34,32.625,-58.6,0.0,bottom
C35,299.275,-34.8,0.0,bottom
C36,185.0,-58.6,0.0,bottom
C37,294.625,-77.6,0.0,bottom
C38,39.7,-96.7,0.0,bottom
C39,66.025,-96.7,0.0,bottom
C4,144.925,-148.6,180.0,bottom
C40,223.2,-58.6,0.0,bottom
C41,85.1,-96.7,0.0,bottom
C42,142.2,-96.7,0.0,bottom
C43,82.7,-134.8,0.0,bottom
C44,237.2925,-34.7,0.0,bottom
C45,51.775,-58.6,0.0,bottom
C46,180.275,-96.7,0.0,bottom
C47,99.375,-77.7,0.0,bottom
C48,104.075,-96.7,0.0,bottom
C49,194.625,-34.7,0.0,bottom
C5,140.625,-150.7,0.0,bottom
C50,37.4,-77.6,0.0,bottom
C51,323.225,-34.8,0.0,bottom
C52,123.125,-96.7,0.0,bottom
C53,270.825,-77.6,0.0,bottom
C54,242.175,-58.6,0.0,bottom
C55,199.375,-96.7,0.0,bottom
C56,323.2,-96.7,0.0,bottom
C57,151.8,-115.8,0.0,bottom
C58,218.425,-34.8,0.0,bottom
C59,204.1,-58.6,0.0,bottom
C6,138.0,-148.133579,270.0,bottom
C60,113.6,-115.8,0.0,bottom
C61,323.175,-58.6,0.0,bottom
C62,289.875,-58.6,0.0,bottom
C63,251.725,-77.7,0.0,bottom
C64,256.475,-34.8,0.0,bottom
C65,232.625,-77.7,0.0,bottom
C66,161.275,-96.7,0.0,bottom
C67,261.3,-134.8,0.0,bottom
C68,237.4,-96.7,0.0,bottom
C69,323.175,-77.6,0.0,bottom
C7,136.400001,-148.133578,270.0,bottom
C70,285.1,-139.5,0.0,bottom
C71,44.6,-115.7,0.0,bottom
C72,112.1,-134.8,0.0,bottom
C73,189.9,-115.8,0.0,bottom
C74,274.5,-115.8,0.0,bottom
C75,208.9,-115.8,0.0,bottom
C76,94.6,-115.8,0.0,bottom
C77,218.4,-96.7,0.0,bottom
C78,256.5,-96.7,0.0,bottom
C79,170.8,-115.8,0.0,bottom
C8,110.075,-141.5,0.0,bottom
C80,154.1,-134.8,0.0,bottom
C81,287.5,-96.7,0.0,bottom
C82,304.0,-120.5,0.0,bottom
C83,247.0,-115.8,0.0,bottom
C84,242.1,-134.8,0.0,bottom
C85,196.1,-134.8,0.0,bottom
C86,75.5,-115.8,0.0,bottom
C87,132.7,-115.8,0.0,bottom
C88,223.1,-134.8,0.0,bottom
C89,228.0,-115.8,0.0,bottom
C9,32.65,-34.825,0.0,bottom
C90,58.9,-134.8,0.0,bottom
C91,326.1,-136.0,90.0,bottom
C92,326.1,-116.3,90.0,bottom
